,Sl. No.,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
1,1,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,red
2,2,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,red
3,3,,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,red
4,4,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,,9.4,5,red
5,5,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,red
6,6,7.9,0.6,0,1.6,0.069,,59,0.9964,3.3,0.46,9.4,5,red
7,7,7.3,0.65,0,1.2,,15,21,,3.39,0.47,10,7,red
8,8,7.8,0.58,0,2,,,18,0.9968,3.36,0.57,9.5,7,red
9,9,7.5,0.5,0,6.1,,,102,0.9978,3.35,0.8,10.5,5,red
10,10,6.7,0.58,0,1.8,,,65,0.9959,3.28,0.54,9.2,,red
11,11,7.5,0.5,0,6.1,,,102,0.9978,3.35,0.8,10.5,5,red
12,12,5.6,0.615,0,1.6,,,59,,3.58,,,5,red
13,13,7.8,0.61,0.29,1.6,,,29,0.9974,3.26,1.56,9.1,5,red
14,14,8.9,0.62,0.18,3.8,,,145,0.9986,3.16,,9.2,5,red
,15,,,,,,,,,,,,,
16,16,8.5,0.28,0.56,1.8,,,103,0.9969,3.3,0.75,10.5,7,yellow
17,17,8.1,0.56,0.28,,,,103,0.9968,3.11,1.28,9.3,5,yellow
18,18,7.4,,0.08,4.4,,,103,0.9974,3.38,0.5,9,4,yellow
19,19,7.9,0.32,0.51,1.8,,,103,0.9969,3.04,1.08,9.2,6,yellow
20,20,8.9,0.22,0.48,1.8,,,103,,3.39,0.53,9.4,6,yellow
21,21,7.6,0.39,0.31,2.3,0.082,23,103,0.9982,3.52,0.65,9.7,,yellow
22,22,,0.43,0.21,1.6,0.106,10,103,0.9966,3.17,0.91,9.5,5,white
23,23,8.5,0.49,0.11,2.3,0.084,9,103,0.9968,3.17,,9.4,5,white
24,24,6.9,0.4,0.14,2.4,0.085,21,103,0.9968,3.43,0.63,,6,white
25,25,6.3,0.39,0.16,1.4,0.08,11,103,0.9955,3.34,0.56,9.3,5,white
26,26,7.6,0.41,0.24,1.8,0.08,4,103,,3.28,0.59,9.5,5,white
,27,,,,,,,,,,,,,white
28,28,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,white
29,29,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,,6,white
30,30,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,pink
31,31,,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,pink
32,32,8.3,0.655,0.12,2.3,0.083,,113,,3.17,0.66,9.8,5,pink
33,33,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,,pink
34,34,5.2,0.32,0.25,1.8,,13,50,0.9957,3.38,,9.2,5,pink
35,35,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,pink
36,36,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,pink
37,37,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,pink
38,38,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,pink
39,39,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,pink
40,40,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,pink
